k;p%;supported;compatible;Nsupported;Ncompatible;averDist
0;33;0.237;0.305;0.130;0.173;0.666-0.559   
1;33;0.159;0.160;0.128;0.129;0.561-0.502   
2;33;0.192;0.192;0.155;0.155;0.599-0.563   
3;33;0.163;0.163;0.133;0.133;0.575-0.520   
4;33;0.171;0.173;0.141;0.142;0.592-0.522   
5  
